Country,CountryCode,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa Eastern and Southern,AFE,7.063795896,6.939536426,6.850375724,6.803536617,6.741240926,6.535173175,6.373502565,6.347598161,6.283420894,6.23256053,6.295587011,6.93364463,6.715358057,6.599355673,6.512784103,6.555645284,6.707141602,6.855589424,6.940365035,6.913046436,7.121663747,7.631303418,7.920218731
Afghanistan,AFG,8.260000229,8.053999901,8.039999962,8.18599987,8.121999741,8.05300045,8.112999916,8.053999901,8.107999802,8.022000313,8.081999779,8.06799984,7.947000027,8.019000053,7.948999882,7.909999847,8.98900032,10.08600044,11.18000031,11.10999966,11.08500004,11.71000004,11.879641008524676
Africa Western and Central,AFW,4.348996317,4.666422637,4.581780566,4.448732994,4.405969047,4.352562042,4.321496237,4.20305838,4.14827042,4.16744298,4.215072682,4.235777457,4.188827673,4.167556146,3.804447502,3.985877983,4.241135976,4.112957918,4.140483804,4.201598559,4.261414006,4.914143362,4.873635101
Angola,AGO,4.303999901,4.163000107,4.118999958,4.043000221,4.043000221,3.971999884,3.914999962,3.881999969,3.826999903,3.790999889,3.779999971,9.430000305,7.360000134,8.06400013,8.833999634,9.579999924,9.583999634,9.586000443,9.534999847,9.522000313,9.480999947,10.35000038,10.38399982
Albania,ALB,14.61100006,19.02799988,18.57500076,17.89500046,16.98900032,16.30999947,15.97000027,15.63000011,15.97000027,13.06000042,13.67000008,14.09000015,13.47999954,13.38000011,15.86999989,18.04999924,17.19000053,15.42000008,13.61999989,12.30000019,11.47000027,13.06700039,12.68299961
Arab World,ARB,13.21699949,12.44784571,12.32400008,12.33008487,12.254294,11.27934116,11.12125816,10.4111855,10.00305131,9.698518737,9.31289675,9.386506842,10.47496764,10.67354504,10.73433927,10.85621373,10.96821914,10.76335863,10.91992055,10.58333988,10.16515827,11.34837049,11.02369344
United Arab Emirates,ARE,1.799999952,2.25,2.500999928,2.654000044,2.750999928,2.904000044,3.119999886,2.926000118,2.859999895,2.720999956,2.667999983,2.463999987,2.28399992,2.171000004,2.032000065,1.90199995,1.763000011,1.639999986,2.460000038,2.24000001,2.329999924,4.289999962,3.109999895
Argentina,ARG,18.79999924,15.0,17.31999969,19.59000015,15.35999966,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,7.524000168,8.109000206,8.350000381,9.220000267,9.840000153,11.46000004,8.739999771
Armenia,ARM,6.699999809,11.05500031,10.93299961,10.81000042,10.625,10.34700012,10.21800041,10.0010004,9.81000042,9.996999741,9.894000053,10.54199982,10.91699982,11.29800034,11.53100014,11.86200047,12.17700005,12.42599964,12.94400024,13.21000004,12.19999981,12.18000031,12.72900009
Australia,AUS,8.470000267,6.28000021,6.739999771,6.369999886,5.929999828,5.389999866,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,5.119999886
Austria,AUT,4.340000153,4.690000057,4.010000229,4.849999905,4.78000021,5.829999924,5.630000114,5.239999771,4.860000134,4.130000114,5.300000191,4.820000172,4.559999943,4.869999886,5.340000153,5.619999886,5.71999979,6.010000229,5.5,4.849999905,4.489999771,5.360000134,6.179999828
Azerbaijan,AZE,7.199999809,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5.0,4.960000038,4.940000057,4.849999905,7.159999847,5.949999809
Burundi,BDI,2.89199996,2.997999907,3.003000021,3.013999939,3.125999928,3.094000101,3.188999891,3.180000067,2.423000097,1.629999995,1.625,1.605999947,1.601999998,1.588999987,1.575999975,1.570000052,1.476999998,1.315000057,1.166000009,1.01699996,0.870999992,1.029999971,1.131999969
Belgium,BEL,9.340000153,6.590000153,6.179999828,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,6.260000229
Benin,BEN,1.236999989,0.842999995,0.765999973,0.689999998,0.737999976,0.773000002,0.832000017,0.859000027,0.885999978,0.935000002,0.995999992,1.039999962,2.650000095,2.453999996,2.253999949,2.111000061,2.023000002,1.835999966,1.643000007,1.470000029,1.465999961,1.671000004,1.751999974
Burkina Faso,BFA,2.513999939,2.63499999,2.654000044,2.749000072,2.779999971,3.441999912,4.0,3.657999992,3.299999952,3.405999899,3.573999882,3.625999928,3.779999971,3.911999941,4.052000046,4.205999851,4.343999863,4.440000057,4.565999985,4.690000057,4.69299984,5.054999828,5.231999874
Italy,ITA,11.65999985,10.82999992,9.600000381,9.210000038,8.869999886,7.869999886,7.730000019,6.78000021,6.079999924,6.71999979,7.75,8.359999657,8.359999657,10.64999962,12.14999962,12.68000031,11.89999962,11.68999958,11.21000004,10.60999966,9.949999809,9.159999847,9.5
Bangladesh,BGD,2.463999987,3.269999981,3.618000031,3.934000015,4.320000172,4.271999836,4.25,3.589999914,4.092000008,4.547999859,5.0,3.380000114,3.75,4.098999977,4.429999828,4.393000126,4.370999813,4.349999905,4.369999886,4.380000114,4.381999969,5.209000111,5.097000122
